year,disaster_type,country,iso,latitude,longitude,total_deaths,total_damages
2012,Flood,India,IND,31.3,76.85,45,20000
2012,Flood,India,IND,26.8,93.63,21,98000
2012,Flood,Bulgaria,BGR,42.555,24.26,5,4400
2012,Flood,Australia,AUS,-21.71,146.64,2,225000
2012,Earthquake,Chile,CHL,-35.2,-72.217,1,100000
2012,Earthquake,China,CHN,27.767,100.781,4,300000
2012,Earthquake,China,CHN,27.575,103.983,81,1000000
2012,Flood,China,CHN,92.4515,106.49,53,316333
2012,Flood,China,CHN,31.41,113.04,58,600000
2012,Flood,Colombia,COL,3.606,-73.07,17,40000
2012,Earthquake,Costa Rica,CRI,10.085,-85.315,2,45000
2012,Flood,Fiji,FJI,-17.7982,178.02,5,72000
2012,Flood,UK,GBR,54.04,-2.13,3,81000
2012,Flood,UK,GBR,53.45,-1.19,4,1630000
2012,Earthquake,Guatemala,GTM,13.988,-91.895,44,210000
2013,Flood,China,CHN,23.6387,114.46,55,661000
2013,Flood,Brazil,BRA,-18.9538,-41.94,64,540000
2013,Earthquake,China,CHN,34.512,104.262,95,1000000
2013,Earthquake,China,CHN,28.2425,99.3502,3,155000
2013,Earthquake,Indonesia,IDN,4.645,96.665,48,130000
2013,Flood,Indonesia,IDN,1.0256,124.51,17,2000
2013,Flood,India,IND,32.714,76.61,6054,1100000
2013,Storm,China,CHN,22.7696,113.69,88,2120000
2013,Flood,Argentina,ARG,-34.4809,-58.68,52,1300000
2013,Flood,Canada,CAN,51.24,-109.64,4,5700000
2013,Earthquake,China,CHN,30.308,102.888,198,6800000
2013,Flood,China,CHN,30.4563,104.02,233,4621600
2013,Flood,China,CHN,35.9161,100.18,43,457000
2013,Storm,China,CHN,25.8633,118.14,1,253000
2013,Flood,Germany,DEU,49.1358,12.11,4,12900000
2013,Flood,UK,GBR,53.2732,-1.51,2,1500000
2013,Earthquake,Guatemala,GTM,14.6056,-92.1207,1,2000
2013,Flood,Indonesia,IDN,-6.17945,106.73,34,3000000
2013,Earthquake,India,IND,33.061,75.863,3,120000
2014,Landslide,Bolivia,BOL,-13.3888,-64.01,74,200000
2014,Volcanic activity,Indonesia,IDN,3.17,98.392,32,83000
2014,Flood,Indonesia,IDN,-6.6324,107.71,32,600000
